rq,type,区县,市,sum,最高气温,最低气温,天气
20210401,市级数据,None,国网浙江省电力有限公司温州供电公司,154566125,25℃,17℃,阴
20210402,市级数据,None,国网浙江省电力有限公司温州供电公司,163992759,23℃,18℃,阴
20210403,市级数据,None,国网浙江省电力有限公司温州供电公司,158097961,23℃,15℃,中雨
20210404,市级数据,None,国网浙江省电力有限公司温州供电公司,121024683,22℃,11℃,晴
20210405,市级数据,None,国网浙江省电力有限公司温州供电公司,151818810,21℃,12℃,晴
20210406,市级数据,None,国网浙江省电力有限公司温州供电公司,164699766,21℃,12℃,多云
20210407,市级数据,None,国网浙江省电力有限公司温州供电公司,167091803,21℃,11℃,阴
20210408,市级数据,None,国网浙江省电力有限公司温州供电公司,134175303,13℃,12℃,阴
20210409,市级数据,None,国网浙江省电力有限公司温州供电公司,133553517,22℃,9℃,晴
20210410,市级数据,None,国网浙江省电力有限公司温州供电公司,150726137,22℃,15℃,阴到小雨
20210411,市级数据,None,国网浙江省电力有限公司温州供电公司,131057578,19℃,16℃,小雨
20210412,市级数据,None,国网浙江省电力有限公司温州供电公司,133128229,24℃,16℃,多云
20210413,市级数据,None,国网浙江省电力有限公司温州供电公司,133743775,17℃,14℃,阴
20210414,市级数据,None,国网浙江省电力有限公司温州供电公司,134215303,16℃,10℃,小雨
20210415,市级数据,None,国网浙江省电力有限公司温州供电公司,133957892,15℃,12℃,多云
20210416,市级数据,None,国网浙江省电力有限公司温州供电公司,129080246,23℃,15℃,小雨
20210417,市级数据,None,国网浙江省电力有限公司温州供电公司,129429105,28℃,14℃,阴
20210418,市级数据,None,国网浙江省电力有限公司温州供电公司,122645773,20℃,12℃,阴
20210419,市级数据,None,国网浙江省电力有限公司温州供电公司,164890946,22℃,12℃,多云
20210420,市级数据,None,国网浙江省电力有限公司温州供电公司,166594241,24℃,14℃,晴
20210421,市级数据,None,国网浙江省电力有限公司温州供电公司,166014837,26℃,15℃,多云
20210422,市级数据,None,国网浙江省电力有限公司温州供电公司,162799434,24℃,19℃,阴
20210423,市级数据,None,国网浙江省电力有限公司温州供电公司,166793206,27℃,19℃,阴
20210424,市级数据,None,国网浙江省电力有限公司温州供电公司,164205725,21℃,17℃,阴
20210425,市级数据,None,国网浙江省电力有限公司温州供电公司,158344481,26℃,13℃,阴
20210426,市级数据,None,国网浙江省电力有限公司温州供电公司,161651529,26℃,16℃,多云
20210427,市级数据,None,国网浙江省电力有限公司温州供电公司,163712557,18℃,16℃,小雨
20210428,市级数据,None,国网浙江省电力有限公司温州供电公司,164321018,24℃,18℃,小雨到大雨
20210429,市级数据,None,国网浙江省电力有限公司温州供电公司,160567916,22℃,14℃,晴
20210430,市级数据,None,国网浙江省电力有限公司温州供电公司,145028431,28℃,16℃,多云
20210501,市级数据,None,国网浙江省电力有限公司温州供电公司,86933128,31℃,17℃,晴
20210502,市级数据,None,国网浙江省电力有限公司温州供电公司,98402170,26℃,16℃,阴
20210503,市级数据,None,国网浙江省电力有限公司温州供电公司,132918294,21℃,12℃,阴
20210504,市级数据,None,国网浙江省电力有限公司温州供电公司,149026454,26℃,18℃,中雨到大雨
20210505,市级数据,None,国网浙江省电力有限公司温州供电公司,149914360,23℃,14℃,多云
20210506,市级数据,None,国网浙江省电力有限公司温州供电公司,150961540,23℃,17℃,阴
20210507,市级数据,None,国网浙江省电力有限公司温州供电公司,151250080,27℃,19℃,小雨
20210508,市级数据,None,国网浙江省电力有限公司温州供电公司,132076340,25℃,17℃,多云
20210509,市级数据,None,国网浙江省电力有限公司温州供电公司,147954294,31℃,21℃,多云
20210510,市级数据,None,国网浙江省电力有限公司温州供电公司,157040523,31℃,22℃,阴到中雨
20210511,市级数据,None,国网浙江省电力有限公司温州供电公司,159886385,27℃,22℃,多云
20210512,市级数据,None,国网浙江省电力有限公司温州供电公司,160294127,28℃,22℃,小雨到中雨
20210513,市级数据,None,国网浙江省电力有限公司温州供电公司,163474741,30℃,23℃,小雨到中雨
20210514,市级数据,None,国网浙江省电力有限公司温州供电公司,145421954,30℃,23℃,多云
20210515,市级数据,None,国网浙江省电力有限公司温州供电公司,168686996,33℃,23℃,多云
20210516,市级数据,None,国网浙江省电力有限公司温州供电公司,166526796,34℃,24℃,小雨
20210517,市级数据,None,国网浙江省电力有限公司温州供电公司,138882258,26℃,20℃,小雨到大雨
20210518,市级数据,None,国网浙江省电力有限公司温州供电公司,166320614,24℃,20℃,中雨到大雨
20210519,市级数据,None,国网浙江省电力有限公司温州供电公司,162313068,25℃,14℃,多云
20210520,市级数据,None,国网浙江省电力有限公司温州供电公司,166691471,24℃,21℃,小雨到中雨
20210521,市级数据,None,国网浙江省电力有限公司温州供电公司,166290763,20℃,19℃,小雨到中雨
20210522,市级数据,None,国网浙江省电力有限公司温州供电公司,162088434,20℃,19℃,小雨到大雨
20210523,市级数据,None,国网浙江省电力有限公司温州供电公司,154059778,22℃,20℃,小雨到中雨
20210524,市级数据,None,国网浙江省电力有限公司温州供电公司,160049907,21℃,18℃,小雨
20210525,市级数据,None,国网浙江省电力有限公司温州供电公司,158092334,25℃,19℃,多云
20210526,市级数据,None,国网浙江省电力有限公司温州供电公司,164782206,29℃,19℃,多云
20210527,市级数据,None,国网浙江省电力有限公司温州供电公司,167246149,26℃,20℃,阴
20210528,市级数据,None,国网浙江省电力有限公司温州供电公司,167530606,25℃,21℃,阴
20210529,市级数据,None,国网浙江省电力有限公司温州供电公司,163564460,26℃,20℃,小雨到中雨
20210530,市级数据,None,国网浙江省电力有限公司温州供电公司,152014316,27℃,19℃,多云
20210531,市级数据,None,国网浙江省电力有限公司温州供电公司,157023293,28℃,21℃,多云
20210601,市级数据,None,国网浙江省电力有限公司温州供电公司,134014711,25℃,22℃,阴到小雨
20210602,市级数据,None,国网浙江省电力有限公司温州供电公司,162539717,27℃,23℃,小雨到中雨
20210603,市级数据,None,国网浙江省电力有限公司温州供电公司,179796857,31℃,21℃,小雨到中雨
20210604,市级数据,None,国网浙江省电力有限公司温州供电公司,160213631,20℃,18℃,小雨到大雨
20210605,市级数据,None,国网浙江省电力有限公司温州供电公司,154120346,20℃,17℃,晴
20210606,市级数据,None,国网浙江省电力有限公司温州供电公司,148645979,30℃,16℃,晴
20210607,市级数据,None,国网浙江省电力有限公司温州供电公司,160065111,29℃,20℃,阴
20210608,市级数据,None,国网浙江省电力有限公司温州供电公司,166525079,29℃,23℃,阴
20210609,市级数据,None,国网浙江省电力有限公司温州供电公司,178634410,32℃,24℃,阴
20210610,市级数据,None,国网浙江省电力有限公司温州供电公司,187280918,31℃,25℃,阴
20210611,市级数据,None,国网浙江省电力有限公司温州供电公司,187443777,32℃,24℃,小雨到中雨
20210612,市级数据,None,国网浙江省电力有限公司温州供电公司,187293519,32℃,25℃,小雨
20210613,市级数据,None,国网浙江省电力有限公司温州供电公司,174455812,32℃,23℃,阴
20210614,市级数据,None,国网浙江省电力有限公司温州供电公司,137881284,34℃,26℃,阴
20210615,市级数据,None,国网浙江省电力有限公司温州供电公司,192894520,36℃,26℃,多云
20210616,市级数据,None,国网浙江省电力有限公司温州供电公司,211863925,36℃,24℃,晴
20210617,市级数据,None,国网浙江省电力有限公司温州供电公司,212163130,34℃,27℃,阴
20210618,市级数据,None,国网浙江省电力有限公司温州供电公司,214425435,36℃,24℃,多云
20210619,市级数据,None,国网浙江省电力有限公司温州供电公司,196532798,33℃,24℃,阴
20210620,市级数据,None,国网浙江省电力有限公司温州供电公司,169681399,26℃,22℃,阴
20210621,市级数据,None,国网浙江省电力有限公司温州供电公司,161934285,23℃,18℃,阴转小雨
20210622,市级数据,None,国网浙江省电力有限公司温州供电公司,162518725,26℃,18℃,多云
20210623,市级数据,None,国网浙江省电力有限公司温州供电公司,170174690,28℃,20℃,多云
20210624,市级数据,None,国网浙江省电力有限公司温州供电公司,177547014,30℃,23℃,阴
20210625,市级数据,None,国网浙江省电力有限公司温州供电公司,186652288,31℃,23℃,多云
20210626,市级数据,None,国网浙江省电力有限公司温州供电公司,193096086,32℃,25℃,阴
20210627,市级数据,None,国网浙江省电力有限公司温州供电公司,188373431,31℃,25℃,阴
20210628,市级数据,None,国网浙江省电力有限公司温州供电公司,195440809,33℃,25℃,小雨
20210629,市级数据,None,国网浙江省电力有限公司温州供电公司,184840581,27℃,24℃,小雨
20210630,市级数据,None,国网浙江省电力有限公司温州供电公司,169897953,26℃,24℃,阴
20210701,市级数据,None,国网浙江省电力有限公司温州供电公司,156374175,29℃,25℃,阴
20210702,市级数据,None,国网浙江省电力有限公司温州供电公司,190301481,31℃,26℃,多云
20210703,市级数据,None,国网浙江省电力有限公司温州供电公司,199916902,32℃,26℃,阴
20210704,市级数据,None,国网浙江省电力有限公司温州供电公司,194901726,32℃,25℃,多云
20210705,市级数据,None,国网浙江省电力有限公司温州供电公司,207592140,34℃,26℃,多云
20210706,市级数据,None,国网浙江省电力有限公司温州供电公司,211139129,29℃,26℃,多云
20210707,市级数据,None,国网浙江省电力有限公司温州供电公司,220170315,34℃,26℃,晴
20210708,市级数据,None,国网浙江省电力有限公司温州供电公司,227399283,36℃,26℃,晴
20210709,市级数据,None,国网浙江省电力有限公司温州供电公司,227321596,36℃,26℃,多云
20210710,市级数据,None,国网浙江省电力有限公司温州供电公司,221488976,33℃,26℃,阴
20210711,市级数据,None,国网浙江省电力有限公司温州供电公司,209166917,33℃,26℃,晴
20210712,市级数据,None,国网浙江省电力有限公司温州供电公司,223353155,34℃,26℃,阴
20210713,市级数据,None,国网浙江省电力有限公司温州供电公司,224748294,33℃,26℃,阴
20210714,市级数据,None,国网浙江省电力有限公司温州供电公司,224808449,34℃,26℃,多云
20210715,市级数据,None,国网浙江省电力有限公司温州供电公司,222788415,34℃,26℃,阴
20210716,市级数据,None,国网浙江省电力有限公司温州供电公司,223088190,34℃,26℃,阴
20210717,市级数据,None,国网浙江省电力有限公司温州供电公司,221520683,34℃,26℃,多云
20210718,市级数据,None,国网浙江省电力有限公司温州供电公司,202652934,32℃,26℃,多云
20210719,市级数据,None,国网浙江省电力有限公司温州供电公司,206564736,31℃,26℃,多云
20210720,市级数据,None,国网浙江省电力有限公司温州供电公司,207581836,34℃,26℃,多云
20210721,市级数据,None,国网浙江省电力有限公司温州供电公司,205707900,35℃,26℃,晴
20210722,市级数据,None,国网浙江省电力有限公司温州供电公司,197333155,31℃,23℃,小雨
20210723,市级数据,None,国网浙江省电力有限公司温州供电公司,188165304,26℃,23℃,阴
20210724,市级数据,None,国网浙江省电力有限公司温州供电公司,193390314,32℃,24℃,阴到小雨
20210725,市级数据,None,国网浙江省电力有限公司温州供电公司,157488362,32℃,24℃,阴
20210726,市级数据,None,国网浙江省电力有限公司温州供电公司,185233028,30℃,25℃,阴
20210727,市级数据,None,国网浙江省电力有限公司温州供电公司,197603754,35℃,25℃,小雨到中雨
20210728,市级数据,None,国网浙江省电力有限公司温州供电公司,197430120,33℃,24℃,小雨到中雨
20210729,市级数据,None,国网浙江省电力有限公司温州供电公司,203766648,34℃,24℃,多云
20210730,市级数据,None,国网浙江省电力有限公司温州供电公司,202252308,35℃,25℃,多云
20210731,市级数据,None,国网浙江省电力有限公司温州供电公司,207316319,30℃,25℃,阴
20210801,市级数据,None,国网浙江省电力有限公司温州供电公司,169057091,29℃,24℃,多云
20210802,市级数据,None,国网浙江省电力有限公司温州供电公司,205527885,35℃,25℃,多云
20210803,市级数据,None,国网浙江省电力有限公司温州供电公司,204241225,29℃,25℃,多云
20210804,市级数据,None,国网浙江省电力有限公司温州供电公司,198411313,27℃,25℃,多云
20210805,市级数据,None,国网浙江省电力有限公司温州供电公司,194005678,29℃,25℃,多云
20210806,市级数据,None,国网浙江省电力有限公司温州供电公司,192094043,29℃,25℃,多云
20210807,市级数据,None,国网浙江省电力有限公司温州供电公司,192681022,32℃,24℃,多云
20210808,市级数据,None,国网浙江省电力有限公司温州供电公司,191278983,36℃,23℃,多云
20210809,市级数据,None,国网浙江省电力有限公司温州供电公司,211968678,34℃,25℃,小雨
20210810,市级数据,None,国网浙江省电力有限公司温州供电公司,210400006,33℃,24℃,多云
20210811,市级数据,None,国网浙江省电力有限公司温州供电公司,209036538,33℃,26℃,多云
20210812,市级数据,None,国网浙江省电力有限公司温州供电公司,207934288,33℃,26℃,阴
20210813,市级数据,None,国网浙江省电力有限公司温州供电公司,203459830,33℃,24℃,小雨转多云
20210814,市级数据,None,国网浙江省电力有限公司温州供电公司,196061625,33℃,26℃,多云
20210815,市级数据,None,国网浙江省电力有限公司温州供电公司,185372929,32℃,25℃,多云
20210816,市级数据,None,国网浙江省电力有限公司温州供电公司,195229863,33℃,23℃,小雨到中雨
20210817,市级数据,None,国网浙江省电力有限公司温州供电公司,188399930,32℃,24℃,多云
20210818,市级数据,None,国网浙江省电力有限公司温州供电公司,189982313,31℃,24℃,多云
20210819,市级数据,None,国网浙江省电力有限公司温州供电公司,192867471,30℃,25℃,多云
20210820,市级数据,None,国网浙江省电力有限公司温州供电公司,202072560,32℃,25℃,多云转小雨
20210821,市级数据,None,国网浙江省电力有限公司温州供电公司,200268536,34℃,23℃,多云
20210822,市级数据,None,国网浙江省电力有限公司温州供电公司,189782457,33℃,25℃,多云
20210823,市级数据,None,国网浙江省电力有限公司温州供电公司,206641616,31℃,24℃,小雨
20210824,市级数据,None,国网浙江省电力有限公司温州供电公司,213323599,34℃,25℃,多云
20210825,市级数据,None,国网浙江省电力有限公司温州供电公司,215461501,35℃,26℃,小雨转多云
20210826,市级数据,None,国网浙江省电力有限公司温州供电公司,214511978,32℃,25℃,多云
20210827,市级数据,None,国网浙江省电力有限公司温州供电公司,213650443,34℃,25℃,晴
20210828,市级数据,None,国网浙江省电力有限公司温州供电公司,207647301,34℃,26℃,多云
20210829,市级数据,None,国网浙江省电力有限公司温州供电公司,201792590,34℃,25℃,多云
20210830,市级数据,None,国网浙江省电力有限公司温州供电公司,207611444,33℃,26℃,多云
20210831,市级数据,None,国网浙江省电力有限公司温州供电公司,206842631,34℃,23℃,多云
20210901,市级数据,None,国网浙江省电力有限公司温州供电公司,189214800,34℃,25℃,晴
20210902,市级数据,None,国网浙江省电力有限公司温州供电公司,213321842,36℃,25℃,阴
20210903,市级数据,None,国网浙江省电力有限公司温州供电公司,215510279,33℃,26℃,多云
20210904,市级数据,None,国网浙江省电力有限公司温州供电公司,213557776,34℃,25℃,多云
20210905,市级数据,None,国网浙江省电力有限公司温州供电公司,207284719,34℃,26℃,多云
20210906,市级数据,None,国网浙江省电力有限公司温州供电公司,220242909,35℃,25℃,多云
20210907,市级数据,None,国网浙江省电力有限公司温州供电公司,217669821,35℃,25℃,小雨
20210908,市级数据,None,国网浙江省电力有限公司温州供电公司,201886266,31℃,25℃,多云
20210909,市级数据,None,国网浙江省电力有限公司温州供电公司,207229787,33℃,25℃,多云
20210910,市级数据,None,国网浙江省电力有限公司温州供电公司,208767528,34℃,25℃,多云
20210911,市级数据,None,国网浙江省电力有限公司温州供电公司,207479297,32℃,24℃,小雨
20210912,市级数据,None,国网浙江省电力有限公司温州供电公司,174075959,27℃,24℃,小雨到中雨
20210913,市级数据,None,国网浙江省电力有限公司温州供电公司,176381888,31℃,25℃,多云
20210914,市级数据,None,国网浙江省电力有限公司温州供电公司,189167329,31℃,24℃,多云
20210915,市级数据,None,国网浙江省电力有限公司温州供电公司,190592921,32℃,23℃,多云
20210916,市级数据,None,国网浙江省电力有限公司温州供电公司,196283214,33℃,23℃,多云
20210917,市级数据,None,国网浙江省电力有限公司温州供电公司,198520870,31℃,24℃,多云
20210918,市级数据,None,国网浙江省电力有限公司温州供电公司,191392578,30℃,23℃,多云
20210919,市级数据,None,国网浙江省电力有限公司温州供电公司,190954031,31℃,23℃,多云
20210920,市级数据,None,国网浙江省电力有限公司温州供电公司,187047711,35℃,23℃,多云
20210921,市级数据,None,国网浙江省电力有限公司温州供电公司,133507527,34℃,24℃,晴
20210922,市级数据,None,国网浙江省电力有限公司温州供电公司,187154815,33℃,24℃,晴
20210923,市级数据,None,国网浙江省电力有限公司温州供电公司,196876784,32℃,23℃,多云
20210924,市级数据,None,国网浙江省电力有限公司温州供电公司,191030245,33℃,21℃,多云
20210925,市级数据,None,国网浙江省电力有限公司温州供电公司,183231079,32℃,20℃,多云
20210926,市级数据,None,国网浙江省电力有限公司温州供电公司,180431179,32℃,21℃,多云
20210927,市级数据,None,国网浙江省电力有限公司温州供电公司,183912987,33℃,24℃,多云
20210928,市级数据,None,国网浙江省电力有限公司温州供电公司,184951845,34℃,23℃,多云
20210929,市级数据,None,国网浙江省电力有限公司温州供电公司,179587484,36℃,23℃,多云
20210930,市级数据,None,国网浙江省电力有限公司温州供电公司,150569721,31℃,23℃,小雨
20211001,市级数据,None,国网浙江省电力有限公司温州供电公司,116333544,33℃,23℃,晴
20211002,市级数据,None,国网浙江省电力有限公司温州供电公司,130526720,32℃,22℃,晴
20211003,市级数据,None,国网浙江省电力有限公司温州供电公司,140037792,32℃,22℃,多云
20211004,市级数据,None,国网浙江省电力有限公司温州供电公司,153123063,32℃,22℃,多云
20211005,市级数据,None,国网浙江省电力有限公司温州供电公司,158511069,33℃,22℃,多云
20211006,市级数据,None,国网浙江省电力有限公司温州供电公司,161409614,33℃,23℃,多云
20211007,市级数据,None,国网浙江省电力有限公司温州供电公司,150736042,27℃,22℃,小雨
20211008,市级数据,None,国网浙江省电力有限公司温州供电公司,152133772,29℃,23℃,小雨
20211009,市级数据,None,国网浙江省电力有限公司温州供电公司,157625016,32℃,22℃,多云
20211010,市级数据,None,国网浙江省电力有限公司温州供电公司,148633173,32℃,23℃,多云
20211011,市级数据,None,国网浙江省电力有限公司温州供电公司,150714091,29℃,21℃,多云
20211012,市级数据,None,国网浙江省电力有限公司温州供电公司,139852488,24℃,20℃,中雨到大雨
20211013,市级数据,None,国网浙江省电力有限公司温州供电公司,140411610,26℃,23℃,中雨到大雨
20211014,市级数据,None,国网浙江省电力有限公司温州供电公司,143434234,28℃,21℃,多云
20211015,市级数据,None,国网浙江省电力有限公司温州供电公司,146575469,31℃,22℃,晴
20211016,市级数据,None,国网浙江省电力有限公司温州供电公司,131819470,27℃,15℃,多云
20211017,市级数据,None,国网浙江省电力有限公司温州供电公司,108618572,20℃,14℃,多云
20211018,市级数据,None,国网浙江省电力有限公司温州供电公司,113623999,20℃,16℃,多云
20211019,市级数据,None,国网浙江省电力有限公司温州供电公司,115154184,21℃,15℃,多云
20211020,市级数据,None,国网浙江省电力有限公司温州供电公司,115355244,15℃,12℃,小雨
20211021,市级数据,None,国网浙江省电力有限公司温州供电公司,116687311,14℃,12℃,中雨
20211022,市级数据,None,国网浙江省电力有限公司温州供电公司,116401556,20℃,14℃,阴
20211023,市级数据,None,国网浙江省电力有限公司温州供电公司,116901985,19℃,16℃,阴
20211024,市级数据,None,国网浙江省电力有限公司温州供电公司,115214008,20℃,11℃,多云
20211025,市级数据,None,国网浙江省电力有限公司温州供电公司,132213530,26℃,16℃,多云
20211026,市级数据,None,国网浙江省电力有限公司温州供电公司,136879515,20℃,16℃,多云
20211027,市级数据,None,国网浙江省电力有限公司温州供电公司,142986547,22℃,15℃,阴
20211028,市级数据,None,国网浙江省电力有限公司温州供电公司,150351237,22℃,17℃,多云
20211029,市级数据,None,国网浙江省电力有限公司温州供电公司,152235873,23℃,15℃,阴
20211030,市级数据,None,国网浙江省电力有限公司温州供电公司,148766241,25℃,12℃,晴
20211031,市级数据,None,国网浙江省电力有限公司温州供电公司,144503846,23℃,15℃,多云
20211101,市级数据,None,国网浙江省电力有限公司温州供电公司,141371491,22℃,14℃,晴
20211102,市级数据,None,国网浙江省电力有限公司温州供电公司,148871270,23℃,16℃,多云
20211103,市级数据,None,国网浙江省电力有限公司温州供电公司,120555258,21℃,15℃,多云
20211104,市级数据,None,国网浙江省电力有限公司温州供电公司,121635063,19℃,17℃,阴到小雨
20211105,市级数据,None,国网浙江省电力有限公司温州供电公司,121613839,22℃,18℃,阴
20211106,市级数据,None,国网浙江省电力有限公司温州供电公司,121437995,27℃,15℃,晴
20211107,市级数据,None,国网浙江省电力有限公司温州供电公司,121271989,25℃,11℃,小雨
20211108,市级数据,None,国网浙江省电力有限公司温州供电公司,154624015,16℃,8℃,晴
20211109,市级数据,None,国网浙江省电力有限公司温州供电公司,165543688,18℃,8℃,多云
20211110,市级数据,None,国网浙江省电力有限公司温州供电公司,169152980,20℃,8℃,晴
20211111,市级数据,None,国网浙江省电力有限公司温州供电公司,168299791,22℃,10℃,多云
20211112,市级数据,None,国网浙江省电力有限公司温州供电公司,169543902,20℃,10℃,阴
20211113,市级数据,None,国网浙江省电力有限公司温州供电公司,168564196,13℃,9℃,晴
20211114,市级数据,None,国网浙江省电力有限公司温州供电公司,164488272,21℃,8℃,晴
20211115,市级数据,None,国网浙江省电力有限公司温州供电公司,168279078,21℃,11℃,多云
20211116,市级数据,None,国网浙江省电力有限公司温州供电公司,168513234,17℃,14℃,多云
20211117,市级数据,None,国网浙江省电力有限公司温州供电公司,171275597,15℃,14℃,小雨
20211118,市级数据,None,国网浙江省电力有限公司温州供电公司,172042623,17℃,14℃,多云
20211119,市级数据,None,国网浙江省电力有限公司温州供电公司,171283907,22℃,12℃,多云
20211120,市级数据,None,国网浙江省电力有限公司温州供电公司,162352490,21℃,14℃,多云
20211121,市级数据,None,国网浙江省电力有限公司温州供电公司,144746185,22℃,10℃,小雨到大雨
20211122,市级数据,None,国网浙江省电力有限公司温州供电公司,151148077,12℃,3℃,晴
20211123,市级数据,None,国网浙江省电力有限公司温州供电公司,155037757,16℃,6℃,晴
20211124,市级数据,None,国网浙江省电力有限公司温州供电公司,153662451,18℃,4℃,多云
20211125,市级数据,None,国网浙江省电力有限公司温州供电公司,153109137,19℃,8℃,多云
20211126,市级数据,None,国网浙江省电力有限公司温州供电公司,152929140,21℃,10℃,多云
20211127,市级数据,None,国网浙江省电力有限公司温州供电公司,149731920,19℃,13℃,多云
20211128,市级数据,None,国网浙江省电力有限公司温州供电公司,152553521,16℃,14℃,多云
20211129,市级数据,None,国网浙江省电力有限公司温州供电公司,162373304,22℃,14℃,多云
20211130,市级数据,None,国网浙江省电力有限公司温州供电公司,194370974,21℃,8℃,多云
20211201,市级数据,None,国网浙江省电力有限公司温州供电公司,149732083,16℃,4℃,晴
20211202,市级数据,None,国网浙江省电力有限公司温州供电公司,163491523,16℃,4℃,多云
20211203,市级数据,None,国网浙江省电力有限公司温州供电公司,137446892,18℃,6℃,多云
20211204,市级数据,None,国网浙江省电力有限公司温州供电公司,137449292,16℃,6℃,多云
20211205,市级数据,None,国网浙江省电力有限公司温州供电公司,131026801,19℃,7℃,晴
20211206,市级数据,None,国网浙江省电力有限公司温州供电公司,137065043,20℃,7℃,晴
20211207,市级数据,None,国网浙江省电力有限公司温州供电公司,136439821,20℃,8℃,多云
20211208,市级数据,None,国网浙江省电力有限公司温州供电公司,170844383,17℃,10℃,多云
20211209,市级数据,None,国网浙江省电力有限公司温州供电公司,170534520,22℃,10℃,晴
20211210,市级数据,None,国网浙江省电力有限公司温州供电公司,172340339,21℃,9℃,晴
20211211,市级数据,None,国网浙江省电力有限公司温州供电公司,168755190,20℃,10℃,晴
20211212,市级数据,None,国网浙江省电力有限公司温州供电公司,159597170,15℃,10℃,多云
20211213,市级数据,None,国网浙江省电力有限公司温州供电公司,166824926,13℃,9℃,多云
20211214,市级数据,None,国网浙江省电力有限公司温州供电公司,176371711,14℃,11℃,多云
20211215,市级数据,None,国网浙江省电力有限公司温州供电公司,168848270,17℃,15℃,多云
20211216,市级数据,None,国网浙江省电力有限公司温州供电公司,167564193,20℃,13℃,小雨
20211217,市级数据,None,国网浙江省电力有限公司温州供电公司,163344550,16℃,3℃,晴
20211218,市级数据,None,国网浙江省电力有限公司温州供电公司,175365282,11℃,3℃,晴
20211219,市级数据,None,国网浙江省电力有限公司温州供电公司,169288802,16℃,5℃,晴
20211220,市级数据,None,国网浙江省电力有限公司温州供电公司,175354277,14℃,9℃,小雨
20211221,市级数据,None,国网浙江省电力有限公司温州供电公司,172176378,12℃,10℃,中雨
20211222,市级数据,None,国网浙江省电力有限公司温州供电公司,169767073,17℃,8℃,阴
20211223,市级数据,None,国网浙江省电力有限公司温州供电公司,173701197,17℃,13℃,阴
20211224,市级数据,None,国网浙江省电力有限公司温州供电公司,171597610,20℃,8℃,阴
20211225,市级数据,None,国网浙江省电力有限公司温州供电公司,179511465,10℃,3℃,多云
20211226,市级数据,None,国网浙江省电力有限公司温州供电公司,178049417,10℃,3℃,多云
20211227,市级数据,None,国网浙江省电力有限公司温州供电公司,193229673,10℃,3℃,多云
20211228,市级数据,None,国网浙江省电力有限公司温州供电公司,193063505,7℃,4℃,小雨
20211229,市级数据,None,国网浙江省电力有限公司温州供电公司,186676916,17℃,4℃,小雨
20211230,市级数据,None,国网浙江省电力有限公司温州供电公司,188257154,14℃,3℃,晴
20211231,市级数据,None,国网浙江省电力有限公司温州供电公司,182826793,14℃,5℃,晴
20220101,市级数据,None,国网浙江省电力有限公司温州供电公司,158337245,14℃,7℃,晴
20220102,市级数据,None,国网浙江省电力有限公司温州供电公司,162937688,18℃,3℃,晴
20220103,市级数据,None,国网浙江省电力有限公司温州供电公司,178303952,17℃,5℃,晴
20220104,市级数据,None,国网浙江省电力有限公司温州供电公司,178057475,19℃,8℃,阴
20220105,市级数据,None,国网浙江省电力有限公司温州供电公司,175788220,1℃,0℃,阴
20220106,市级数据,None,国网浙江省电力有限公司温州供电公司,181603635,14℃,6℃,多云
20220107,市级数据,None,国网浙江省电力有限公司温州供电公司,179021267,15℃,6℃,多云
20220108,市级数据,None,国网浙江省电力有限公司温州供电公司,179662337,14℃,7℃,小雨
20220109,市级数据,None,国网浙江省电力有限公司温州供电公司,179987347,9℃,6℃,阴
20220110,市级数据,None,国网浙江省电力有限公司温州供电公司,177873236,15℃,8℃,多云
20220111,市级数据,None,国网浙江省电力有限公司温州供电公司,173487285,13℃,1℃,晴
20220112,市级数据,None,国网浙江省电力有限公司温州供电公司,177501249,11℃,3℃,晴
20220113,市级数据,None,国网浙江省电力有限公司温州供电公司,171450724,15℃,0℃,晴
20220114,市级数据,None,国网浙江省电力有限公司温州供电公司,169879570,10℃,5℃,多云
20220115,市级数据,None,国网浙江省电力有限公司温州供电公司,153104189,19℃,6℃,多云
20220116,市级数据,None,国网浙江省电力有限公司温州供电公司,148649703,11℃,6℃,小雨
20220117,市级数据,None,国网浙江省电力有限公司温州供电公司,147930927,-6℃,-18℃,晴
20220118,市级数据,None,国网浙江省电力有限公司温州供电公司,138464763,10℃,5℃,多云
20220119,市级数据,None,国网浙江省电力有限公司温州供电公司,125498794,13℃,7℃,多云
20220120,市级数据,None,国网浙江省电力有限公司温州供电公司,120262906,15℃,8℃,阴
20220121,市级数据,None,国网浙江省电力有限公司温州供电公司,121692144,11℃,8℃,多云
20220122,市级数据,None,国网浙江省电力有限公司温州供电公司,83214086,12℃,8℃,小雨
20220123,市级数据,None,国网浙江省电力有限公司温州供电公司,75297044,16℃,11℃,多云
20220124,市级数据,None,国网浙江省电力有限公司温州供电公司,72700980,13℃,11℃,多云
20220125,市级数据,None,国网浙江省电力有限公司温州供电公司,70330494,11℃,8℃,阴
20220126,市级数据,None,国网浙江省电力有限公司温州供电公司,69515350,12℃,9℃,多云
20220127,市级数据,None,国网浙江省电力有限公司温州供电公司,66893485,11℃,8℃,多云
20220128,市级数据,None,国网浙江省电力有限公司温州供电公司,67822571,8℃,4℃,多云
20220129,市级数据,None,国网浙江省电力有限公司温州供电公司,81738228,8℃,3℃,多云
20220130,市级数据,None,国网浙江省电力有限公司温州供电公司,82638279,8℃,1℃,晴
20220131,市级数据,None,国网浙江省电力有限公司温州供电公司,86200052,9℃,2℃,阴
